openlibrary_id,title,authors,first_publish_year,subjects,edition_count,work_key,cover_id,type,genre,summary
OL12534735W,RG Veda,Clamp,2005.0,"Young adult Graphic novels, Graphic novels, Young adult, Graphic novels, Magic, Gods, Hindu, Translations into English, Quests (Expeditions), Fiction, Prophecies, Comic books, strips, etc, Hindu Gods, Supernatural, Fantasy comic books, strips, Comic books, strips, Good and evil, Cartoons and comics, Fantasy, Comics & graphic novels, east asian style, manga, fantasy",7,/works/OL12534735W,7169720.0,fiction,Fantasy,
OL12534739W,Kādokyaputā Sakura,CLAMP,2000.0,"Man-woman relationships, Magic, Fantasy fiction, Juvenile fiction, Graphic novels, Fiction, Fantasy, Comic books, strips, etc, Cartoons and comics, Comic books, strips, Translations into English, Comics & graphic novels, east asian style, manga, fantasy, Children's fiction, Comic books, strips, etc., Friendship, fiction",11,/works/OL12534739W,7182670.0,fiction,Fantasy,
OL12537185W,Purinsesu Ai monogatari,"Misaho Kujiradou, Courtney Love, D.j. Milky",2005.0,"Graphic novels, Graphic Novels-Manga, Fantasy, Comics & Graphic Novels, Fiction, Graphic Novels - Manga, Comics & Graphic Novels / Graphic Novels / Manga, Comics & graphic novels, manga, crime & mystery, Tokyo (japan), fiction, Comics & graphic novels, manga, romance",6,/works/OL12537185W,865748.0,fiction,Fantasy,
OL12543986W,The magicians and Mrs. Quent,Galen Beckett,2008.0,"Fantasy, Fiction",3,/works/OL12543986W,7012071.0,fiction,Fantasy,
OL12738418W,De Freud à Lacan,Jean-Claude Razavet,2000.0,"Fantasy, Castration anxiety, Oedipus complex, Psychoanalysis, Psychiatry & Clinical Psychology",3,/works/OL12738418W,,fiction,Fantasy,
OL12960255W,The Sky Village,"Monk Ashland, Nigel Ashland",2008.0,"Fantasy, Science Fiction, Fantasy, & Magic, Juvenile Fiction / Science Fiction, Fantasy, Magic, Action & Adventure - General, Juvenile Fiction, Children's Books/All Ages, Children: Young Adult (Gr. 7-9), Juvenile fiction, Diaries, Children's fiction, Fantasy fiction",5,/works/OL12960255W,2613207.0,fiction,Fantasy,
OL13267757W,The accidental demon slayer,Angie Fox,2008.0,"Fantasy, Fiction, Paranormal Romance, Witch / Warlock / Mage / Wizard, Fiction, romance, general",5,/works/OL13267757W,8219570.0,fiction,Fantasy,
OL13644483W,Sukurappudo purinsesu,"Ichirō Sakaki, Go Yabuki, Ichiro Sakaki",2005.0,"Fantasy, Juvenile Fiction, Graphic Novels-Manga, Children: Young Adult (Gr. 7-9), Graphic novels, Graphic Novels - Manga, Comics & Graphic Novels / Graphic Novels / Manga, Comics & Graphic Novels - Manga, Comics & graphic novels, east asian style, manga, fantasy, Fiction, fantasy, general, Comics & graphic novels, fantasy, general, Comics & graphic novels, general",5,/works/OL13644483W,8228280.0,fiction,Fantasy,
OL13648725W,Windblowne,Stephen Messer,2010.0,"Fiction, Fantasy, Identity, Kites, Uncles, Space and time, Juvenile Fiction, Individuality, Fantasy fiction, Juvenile fiction, Identity (Philosophical concept)",3,/works/OL13648725W,10664541.0,fiction,Fantasy,
OL13685348W,Kamichama Karin,Koge Donbo.,2005.0,"Goddesses, Orphans, Graphic novels, School children, Fiction, Fantasy, Comic books, strips, etc, Cartoons and comics, Comic books, strips, Magic, Comics & graphic novels, east asian style, manga, fantasy, Children's fiction, Comics & graphic novels, east asian style, manga, general",5,/works/OL13685348W,9506621.0,fiction,Fantasy,
